piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/155.mid,2.243,2.8219,0.7163,0.9032
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/156.mid,0.0,0.0,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/157.mid,2.0081,2.5296,0.75,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/158.mid,1.8922,2.6545,0.6049,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/16.mid,1.9692,2.9451,0.5104,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/160.mid,2.2863,3.0129,0.6273,0.9556
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/161.mid,2.1104,2.8938,0.625,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/162.mid,2.3099,3.1045,0.5655,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/163.mid,2.4616,3.0004,0.6083,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/164.mid,2.221,2.797,0.8542,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/165.mid,2.4174,3.1075,0.5577,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/166.mid,1.9974,2.4138,0.6979,0.75
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/167.mid,1.9225,3.0435,0.6379,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/168.mid,2.409,2.9697,0.5488,0.9444
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/169.mid,0.0,1.0,0.875,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/17.mid,2.1155,2.468,0.7532,0.5
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/170.mid,2.0667,2.6561,0.7647,0.8
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/171.mid,2.2178,2.8349,0.7251,0.7561
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/172.mid,2.1457,2.6449,0.7145,0.9412
