piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/53.mid,2.0007,2.7013,0.5868,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/54.mid,2.2682,3.0712,0.5742,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/55.mid,1.1513,2.6552,0.6236,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/56.mid,2.163,2.9176,0.581,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/57.mid,1.2447,2.3231,0.6202,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/58.mid,2.2032,2.9917,0.4953,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/59.mid,2.3086,2.9917,0.5403,0.9615
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/6.mid,1.321,2.5727,0.7292,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/60.mid,2.3605,2.982,0.4583,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/61.mid,1.6027,2.7499,0.5542,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/62.mid,1.708,2.6476,0.6838,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/63.mid,2.1346,3.1555,0.7125,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/64.mid,2.3653,2.973,0.5625,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/65.mid,1.7029,2.9631,0.7182,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/67.mid,2.2227,2.8611,0.6167,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/68.mid,1.8652,2.7454,0.7056,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/69.mid,2.3096,3.0824,0.4896,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/7.mid,2.0682,2.9449,0.5556,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/70.mid,2.3073,2.9205,0.617,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/71.mid,2.2515,2.7583,0.581,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/73.mid,1.7855,2.7526,0.6004,0.931
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/74.mid,2.3869,2.8652,0.9123,0.92
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/76.mid,1.8512,2.8313,0.6556,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/77.mid,1.947,2.9912,0.5333,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/78.mid,1.3734,2.5907,0.5708,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/79.mid,1.9043,2.4891,0.7357,0.7273
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/8.mid,1.8902,2.7722,0.6191,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/80.mid,1.8802,2.7609,0.7118,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/81.mid,2.2416,2.8933,0.675,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/82.mid,2.2586,2.7537,0.7506,0.9231
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/83.mid,1.2925,1.9219,0.8125,-0.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/84.mid,1.538,2.7421,0.6238,0.8571
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/85.mid,1.9219,1.9219,,-0.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/86.mid,2.1848,2.8504,0.7009,0.9
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/87.mid,1.974,2.8975,0.6042,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/89.mid,1.9609,2.8221,0.7012,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/9.mid,1.7413,2.8177,0.6393,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/90.mid,1.8292,2.613,0.5382,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/92.mid,1.5833,2.6809,0.6227,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/93.mid,1.8036,2.7856,0.7083,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/94.mid,1.8185,2.4096,0.8056,0.75
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/95.mid,1.9845,2.7822,0.6979,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/96.mid,2.0868,2.8843,0.7121,1.0
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/97.mid,2.3517,2.7764,0.7072,0.9524
/home/feiyuehchen/personality/llama2music/generation/B_REMI_2048_32_128_epoch_3/98.mid,2.4908,3.1473,0.7023,1.0
DATASET_MEAN,1.978,2.7727,0.6447,0.9424
