piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/150.mid,2.4673,2.6758,0.596,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/151.mid,1.6586,2.5412,0.7279,0.7347
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/153.mid,2.2314,2.8145,0.6843,0.963
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/155.mid,2.1231,2.5155,0.7442,0.8333
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/156.mid,1.833,2.6041,0.5933,0.84
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/157.mid,2.2597,2.6907,0.6939,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/158.mid,1.9368,2.6854,0.5812,0.9231
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/16.mid,1.6033,2.7748,0.7595,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/161.mid,2.19,2.7137,0.4986,0.8889
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/163.mid,2.0226,2.432,0.5595,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/164.mid,2.2604,2.8491,0.7139,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/165.mid,1.2966,2.4797,0.7257,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/166.mid,2.0162,2.4946,0.7345,0.9167
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/167.mid,2.0319,2.4696,0.7798,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/168.mid,2.1546,2.7201,0.5768,0.9048
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/169.mid,1.9633,2.8897,0.6667,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/17.mid,2.2592,2.715,0.5982,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/170.mid,2.0351,2.6317,0.6964,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/171.mid,1.7186,2.8139,0.6083,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/172.mid,2.0618,2.6755,0.6007,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/173.mid,1.7266,2.5989,0.6568,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/174.mid,1.8451,2.4723,0.7795,0.9167
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/175.mid,1.7281,2.3429,0.6927,0.6364
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/176.mid,2.2544,2.7762,0.6266,0.8462
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/177.mid,2.4655,2.7162,0.7182,0.9444
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/178.mid,2.3832,2.784,0.5559,0.6923
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/179.mid,1.9468,2.7634,0.7298,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/18.mid,2.1109,2.7014,0.5643,0.8947
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/181.mid,2.1216,2.9933,0.5739,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/182.mid,2.1112,2.7069,0.6542,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/183.mid,2.1446,2.6769,0.7983,0.9655
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/184.mid,1.5047,2.1457,0.5767,0.6667
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/185.mid,2.1942,2.7793,0.6957,0.8125
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_blank_model_4096/186.mid,1.7769,2.423,0.6894,1.0
